time_r2,time_mae,time_rmse,time_mape,energy_r2,energy_mae,energy_rmse,energy_mape,model,seed,model_family
0.7270851706682944,1.3996554017066956,1.79073001944644,26.624845038683432,0.7160449238221628,415.09166690340476,529.9243279526776,27.273265059931585,GGNN,11,graph
0.7748253170598239,1.2675204547968777,1.6265833662120748,24.473117345252664,0.7743371982276965,372.47169414728137,472.409940232236,25.196221908795724,GGNN,21,graph
0.695929182896922,1.4717307578433643,1.8901832809592962,28.76281883582571,0.7164230987299025,409.3637202481339,529.5713304712369,27.500448560493755,GGNN,31,graph
0.7966650112470748,1.2305112860419534,1.5456907390374217,23.373776930143496,0.8098734960723296,347.53563264603923,433.6210637448357,22.683929141737867,GGNN,41,graph
0.6711599364426644,1.5452542792667041,1.9656623013497287,31.067569858231824,0.6931319205924893,424.05420221501976,550.8900101088345,29.978224882625266,GGNN,51,graph
0.610248630417541,1.7716070088473233,2.1399832389833917,29.414786698895433,0.5987630964132302,517.3756364857046,629.9259134387394,29.956339078572825,GCN,11,graph
0.5108745975354586,1.9491412910548123,2.3973235737179297,35.41646396686625,0.5356929612810527,556.6568563454338,677.6285149292872,34.0651977881614,GCN,21,graph
0.7104672269631245,1.4528858336535366,1.8444437359730548,28.38048117561533,0.7274621587023884,407.9452559703435,519.1614600365087,27.767930442190764,GCN,31,graph
0.6611270257356098,1.57150598005815,1.9954231852374713,28.219660736793045,0.6574741612534554,452.65973510741844,582.0170515758995,28.28456592633873,GCN,41,graph
0.593641559021552,1.7180369062857195,2.18509935873052,30.726549753298844,0.6037033849822262,471.1863946977059,626.035874311081,28.982731340965202,GCN,51,graph
0.6011840174434238,1.7138921618461609,2.164725454888454,32.71843487306096,0.6237371943060799,476.65894631125263,610.0068109469356,31.57305061969971,GAT,11,graph
0.6132402419893823,1.6902504021471196,2.131754491838633,32.6770953360048,0.5789882551538679,512.6432119029605,645.2620818468178,33.989372673715884,GAT,21,graph
0.6421903084777788,1.5559806498614224,2.0504189012546226,30.445220287720804,0.6708222982585519,432.3244472545238,570.563839056204,29.29713475885729,GAT,31,graph
0.7293658530463377,1.398948680270802,1.7832319756874713,27.28122539723587,0.7210134675458205,408.1579465442967,525.2676552794994,28.047595798486313,GAT,41,graph
0.530241663818163,1.9012421477924695,2.349382852834849,35.57843613401591,0.5811391935983083,514.6513191250841,643.6116572573156,32.98933641884852,GAT,51,graph
0.7800270096393985,1.297420691360127,1.6076859864830488,23.653551391168204,0.7663664675329387,385.22295632102214,480.6806358724807,24.6537276880394,GraphSAGE,11,graph
0.7734449765744288,1.3038445927880027,1.631561298172628,22.217869737387577,0.787304046818343,364.3932799627126,458.63654037996196,22.224702339932307,GraphSAGE,21,graph
0.7842918485548285,1.261245841329748,1.5920247876857438,21.36101169330877,0.7638247000981541,379.68601250665694,483.2882951990918,23.239508698829965,GraphSAGE,31,graph
0.7743622130605445,1.3056669289415532,1.628255157961333,22.99525180578389,0.7734288154926948,371.40176312810627,473.35980446182487,21.941852977292573,GraphSAGE,41,graph
0.7231875769752041,1.420683508569544,1.803471714537128,24.512308125768126,0.7255069890424533,411.4706385941956,521.0203482500646,23.680552167311024,GraphSAGE,51,graph
