model,time_r2_mean,time_r2_std,time_mae_mean,time_mae_std,time_rmse_mean,time_rmse_std,time_mape_mean,time_mape_std,energy_r2_mean,energy_r2_std,energy_mae_mean,energy_mae_std,energy_rmse_mean,energy_rmse_std,energy_mape_mean,energy_mape_std
GAT,0.6232444169550171,0.07220969955287393,1.6520628083835949,0.18753002925656287,2.095902735300806,0.2062194633394726,31.740082405607666,3.0873208390177713,0.6351400817725257,0.060923329596127056,468.8871742276236,47.68181081734401,598.9424088773545,51.22642723923026,31.179298053921542,2.4838426389549095
GCN,0.6172718079346572,0.07506121888685956,1.6926354039799083,0.19028216850910357,2.1124546185284734,0.20779292240123748,30.431588466293782,2.960976914365946,0.6246191525264706,0.07188533921611322,481.16477572132123,57.62699926048462,606.9537628583032,59.61563399062604,29.811352915245784,2.515426644559137
GGNN,0.7331329236629559,0.052526009291189425,1.3829344359311189,0.1332903903939534,1.7637699414009922,0.17595908483775816,26.860425601627423,3.1317176071748376,0.7419621274889161,0.04839532965488205,393.7033832319758,32.427314344411286,503.28333450196413,48.66517046932231,26.526417910716837,2.736586792227094
GraphSAGE,0.7670627249608809,0.02491966918912632,1.317772312597795,0.06029234277650739,1.6525997889679764,0.08585481569594215,22.947998550683316,1.2246139694838625,0.7632862037969168,0.02300421931856731,382.4349301025387,18.066778344588492,483.39712483268477,23.112401644689772,23.148068774281054,1.1030039334948731
