variant,base_model,feature_count,time_r2,time_mae,energy_r2,energy_mae,time_rmse,time_mape,energy_rmse,energy_mape,time_r2_ci95_low,time_r2_ci95_high,time_r2_boot_std,time_mae_ci95_low,time_mae_ci95_high,time_mae_boot_std,time_rmse_ci95_low,time_rmse_ci95_high,time_rmse_boot_std,time_mape_ci95_low,time_mape_ci95_high,time_mape_boot_std,energy_r2_ci95_low,energy_r2_ci95_high,energy_r2_boot_std,energy_mae_ci95_low,energy_mae_ci95_high,energy_mae_boot_std,energy_rmse_ci95_low,energy_rmse_ci95_high,energy_rmse_boot_std,energy_mape_ci95_low,energy_mape_ci95_high,energy_mape_boot_std,features,time_unc_mean,energy_unc_mean
A1_full_features_real_graph,GGNN,14,0.7532339227317478,1.3417301069606433,0.763774915987211,380.71947347744805,1.7027828817696549,26.26285317514716,483.3392294210977,25.881707364695533,0.5935677382586063,0.8324786037828853,0.059737444849483116,1.1289900110526518,1.5697602828795258,0.11429423257793785,1.4797375768957517,1.930154968203075,0.11761332808214703,20.12659170316215,33.36333512762696,3.3481644260166203,0.616488615080251,0.8376689031985534,0.05599754453840461,321.7922366235903,446.14402887046003,32.354600897774105,416.3618189341679,547.3353325454992,33.002688248403636,19.395597813049108,32.79230694003945,3.3766664547197176,edge_distance;mean_speed;slowdown_idx;std_speed;turn_intensity;mean_power_W;std_power_W;peak_power_W;mean_current;std_current;wheel_diff_mean;stop_ratio;scanner_ratio;obs_t_start,0.4335092306137085,128.233154296875
A2_full_features_no_message_passing_edges,GGNN,14,0.7839282827070482,1.2736154957251116,0.7832607315682618,365.0227753573327,1.5933658639399761,21.69389272899514,462.9753203555082,21.205767104974292,0.676829372562053,0.844664037552751,0.04358735242874646,1.0571696401997046,1.4801718401637944,0.10358322603989631,1.3810422767736286,1.799641671012037,0.108288219914601,17.22555814152817,27.202881085919863,2.534549068402702,0.6823294568031112,0.8403617728044706,0.04280655382305441,305.9990946952127,427.84998111627425,30.836176754859352,399.3497474711997,525.7890533518342,32.0726132962037,16.747207257412377,26.555325248345337,2.5060146147954647,edge_distance;mean_speed;slowdown_idx;std_speed;turn_intensity;mean_power_W;std_power_W;peak_power_W;mean_current;std_current;wheel_diff_mean;stop_ratio;scanner_ratio;obs_t_start,0.26419734954833984,98.59343719482422
A3_full_features_random_topology,GGNN,14,0.7255111144117969,1.4021706689487805,0.7201633937926428,416.9356039983584,1.7958866780226126,22.8337669102294,526.0672935738027,24.083403651595752,0.553383133310448,0.82480205096525,0.07095961785244305,1.1735167254778471,1.6282325695184143,0.11796205191781199,1.5268512151790696,2.041655267818775,0.13217861796606767,18.369343113295287,28.01945633634656,2.461183999900196,0.5477641483253572,0.811536078675066,0.06868820780360299,349.51361894822526,483.0443565093997,34.38765790356204,452.98070046117715,593.7314499072888,36.44572082352884,19.341158455308346,29.506709939804324,2.6160722779861922,edge_distance;mean_speed;slowdown_idx;std_speed;turn_intensity;mean_power_W;std_power_W;peak_power_W;mean_current;std_current;wheel_diff_mean;stop_ratio;scanner_ratio;obs_t_start,0.28852787613868713,90.42449951171875
A4_full_features_zero_node_context,GGNN,14,0.5204382468162723,1.780350853096355,0.5436278568541426,494.2189958939946,2.3737709815880548,34.684696750195144,671.8133086072337,33.88815903434722,0.18414971228400437,0.6950992333485612,0.1308462151753612,1.474766690080816,2.1150480176914823,0.1707220813465008,2.0270133886324806,2.7120546360007802,0.1797971098378956,26.860131619448968,43.912562019476496,4.445496375581508,0.20524085504114015,0.7155752777308036,0.12989401566724854,405.208327347074,592.2583906338738,49.55827511298271,569.5625362144918,773.2941735391047,53.50970585417103,25.660438372474555,43.11318326838743,4.641446956195829,edge_distance;mean_speed;slowdown_idx;std_speed;turn_intensity;mean_power_W;std_power_W;peak_power_W;mean_current;std_current;wheel_diff_mean;stop_ratio;scanner_ratio;obs_t_start,0.458814799785614,131.26112365722656
A5_distance_only_real_graph,GGNN,1,0.7471227119040791,1.3755174550143154,0.7522727184193898,393.187844604489,1.7237388086710201,25.927183189691473,494.96667265630975,26.089674827096598,0.6056801894133642,0.8218321458782366,0.05425011000164866,1.1601838210766966,1.5934349279512057,0.11150389388465642,1.5116507698729797,1.9327292682927626,0.10975338638987445,19.960157108953617,32.52820881962909,3.1921503441651224,0.6093126120136282,0.8238321741447276,0.05405134765389257,332.51089147338655,456.517023416409,31.91358329988672,429.6721460019484,558.8454590786814,32.76712026189247,19.75061431682731,33.25997608497892,3.3914534698439307,edge_distance,0.4333966374397278,122.74551391601562
A6_kinematic_features_real_graph,GGNN,9,0.7565730847802361,1.3287726098840886,0.7726406637516685,372.19042821155637,1.6912228769655049,25.981416990260136,474.18240568747984,25.56266838781221,0.5944155833600544,0.8417522734113748,0.06252089823884414,1.1213160881941968,1.5467488665472375,0.11299818991635535,1.4731012258475769,1.9071608141383312,0.1150981047686503,20.16396613350091,32.71515202607836,3.203257243350496,0.6175753170724203,0.8534265693700618,0.05921174854025806,312.60267388527143,435.6291873990116,31.664018238847902,409.56966846990315,536.8615450212412,32.722139095079804,19.315771541444075,32.324190047338,3.2926985544342444,edge_distance;mean_speed;slowdown_idx;std_speed;turn_intensity;wheel_diff_mean;stop_ratio;scanner_ratio;obs_t_start,0.2011953741312027,60.228187561035156
A7_power_motion_features_real_graph,GGNN,9,0.7438818731244504,1.3459965695034375,0.758096446214044,379.9363528608817,1.73474923769474,26.762781597064095,489.11407850272377,26.31506080097541,0.5729163508685815,0.8294739987949636,0.06519842830540809,1.1190366719256748,1.5811830657449635,0.11774689230806108,1.4854509910776572,1.966589775741878,0.12234952144817626,20.421708785688455,33.88762355605909,3.4430382981635783,0.5952504706515813,0.8423048419495615,0.06213450134994216,316.31840870749653,444.63995797784696,32.95343963875282,418.48848457918615,555.1152094863215,34.0942587300633,19.55185637386259,33.37333130146937,3.4491405944795788,edge_distance;mean_power_W;std_power_W;peak_power_W;mean_current;std_current;mean_speed;slowdown_idx;stop_ratio,0.3932776153087616,108.1427993774414
A8_full_features_non_graph_MLP,MLP,14,0.6879715145293075,1.5736148912798276,0.7144894739739509,436.3737773770388,1.914757011045017,28.487414503276515,531.3737561679034,26.769922190388673,0.47492824835201175,0.7917015521196824,0.07988515994316404,1.3494928702034734,1.807025250386108,0.11530438342042262,1.632756553157447,2.174737292308811,0.13391188792063752,22.34668638381191,35.80552464671129,3.2522377341560462,0.5162783284743961,0.8113275536891803,0.07572388508410857,374.55844965265106,499.89176360778396,32.13308219780443,460.84215385291594,603.7555793792334,37.03655754998237,21.363965993656834,33.16520839285973,2.952732699691687,edge_distance;mean_speed;slowdown_idx;std_speed;turn_intensity;mean_power_W;std_power_W;peak_power_W;mean_current;std_current;wheel_diff_mean;stop_ratio;scanner_ratio;obs_t_start,0.9247483611106873,251.6552276611328
