model,time_unc_err_corr,energy_unc_err_corr
GGNN,0.11640930952611898,0.12936340796280987
GCN,0.21524820533701047,0.2644523853973326
GAT,0.3001898730222187,0.24416659383458264
GraphSAGE,0.1473379476631155,-0.1157417604937457
Ridge,0.1966282165645542,0.24936868374955962
SVR-RBF,0.24306205734012337,0.16114883663856988
KernelRidge-RBF,0.13197145693824433,0.16332371795592893
MLP,0.25629361590687416,0.19483304960856948
