time_r2,time_mae,time_rmse,time_mape,energy_r2,energy_mae,energy_rmse,energy_mape,model,subset,n,feature,threshold_q75
0.7194688821127674,1.054003433747725,1.3788110720685889,16.835006697624003,0.722045803968805,303.27125754616213,386.35213586822636,16.418449528605187,GGNN,turning-heavy_high_q75,22,turn_intensity,0.5086059170292165
0.752974842491249,1.4376389980316162,1.7978466932539185,29.405468667654876,0.7657398927390884,406.53554545454335,511.59856329599586,29.03612664339232,GGNN,turning-heavy_low_below_q75,66,turn_intensity,0.5086059170292165
0.7548761429796808,1.0207317959178577,1.2888638175298819,15.776229743895016,0.7528020643165729,300.29064550780674,364.35029043456007,15.55478584764875,GCN,turning-heavy_high_q75,22,turn_intensity,0.5086059170292165
0.6211814926702638,1.8202034487868801,2.226371620554014,34.097856611238555,0.6332403940315537,515.4353382457357,640.1340017037656,33.467572054278136,GCN,turning-heavy_low_below_q75,66,turn_intensity,0.5086059170292165
0.7356107054695591,1.014966682954268,1.3385548563392662,16.59886851859411,0.7405621523050006,285.29198947975635,373.26164574991486,16.019651780556508,GAT,turning-heavy_high_q75,22,turn_intensity,0.5086059170292165
0.6160721001375729,1.8199131416551995,2.241335654509406,36.31237775838982,0.6314521495145113,515.2016184303938,641.69268502293,35.64206485517887,GAT,turning-heavy_low_below_q75,66,turn_intensity,0.5086059170292165
0.7496366346563028,1.0990379073403098,1.3025656804614363,15.163472818804314,0.7150336108663029,317.4767113813909,391.1952023268586,15.181542789467079,GraphSAGE,turning-heavy_high_q75,22,turn_intensity,0.5086059170292165
0.7737021720642504,1.3521924524596243,1.7207677415880045,25.053393936291098,0.7777694417748702,390.4876907404123,498.28984433002233,25.18458283369625,GraphSAGE,turning-heavy_low_below_q75,66,turn_intensity,0.5086059170292165
0.41971599409626603,1.6945599101148519,1.9830540034261908,24.163279619054727,0.4250843351317918,467.5411727213895,555.6467407673518,23.192810129434662,Ridge,turning-heavy_high_q75,22,turn_intensity,0.5086059170292165
0.5794144948011439,1.929496556509089,2.3458984800205482,36.75488433434443,0.6169362504275278,544.470389359556,654.2077354592179,35.67093552016041,Ridge,turning-heavy_low_below_q75,66,turn_intensity,0.5086059170292165
0.8551608516198415,0.7599395739258713,0.9907343535330223,10.631043422368652,0.8061212293068525,243.5994228493507,322.6724071069149,12.041009448267825,SVR-RBF,turning-heavy_high_q75,22,turn_intensity,0.5086059170292165
0.5590142162796281,1.8415779847947198,2.4021181116068675,37.23909648000706,0.6144220495134931,506.98855447410153,656.3511379904764,34.42782904491171,SVR-RBF,turning-heavy_low_below_q75,66,turn_intensity,0.5086059170292165
0.5967358106032838,1.4554015712906645,1.6531378510545682,19.855254601739027,0.5998144300972306,401.9132420076507,463.5829048551202,19.026867376886216,KernelRidge-RBF,turning-heavy_high_q75,22,turn_intensity,0.5086059170292165
0.49800848103877404,2.0572849086575746,2.5628916913223754,42.41245246076609,0.5260865775073233,585.7264843277571,727.6619265359226,41.67711585466627,KernelRidge-RBF,turning-heavy_low_below_q75,66,turn_intensity,0.5086059170292165
0.5787508359639002,1.496818022294478,1.689599479434638,19.317655400886586,0.595078196974313,403.076498490766,466.3181090251042,18.374371704706427,MLP,turning-heavy_high_q75,22,turn_intensity,0.5086059170292165
0.6991289687705912,1.5992138476082773,1.9841397165588237,31.54400087073983,0.72791561373693,447.4728703391297,551.3558125721227,29.568439018949423,MLP,turning-heavy_low_below_q75,66,turn_intensity,0.5086059170292165
0.6348949552576802,1.4739835912531072,1.7353277125252569,25.249359876993932,0.6728756877776317,396.3958852539076,475.8412882701471,24.536503099842506,GGNN,stop-heavy_high_q75,22,stop_ratio,0.3245192307692308
0.7784124929049564,1.2976456121964888,1.6917954860574351,26.600684274531567,0.7830515883392388,375.49400288529495,485.8128278692418,26.330108786313204,GGNN,stop-heavy_low_below_q75,66,stop_ratio,0.3245192307692308
0.4964900749519122,1.5917008790102871,2.037870597433563,27.18576433014843,0.5405904687077705,436.1672007279824,563.9046969049108,26.183421708511784,GCN,stop-heavy_high_q75,22,stop_ratio,0.3245192307692308
0.6805562542792674,1.6298804210894036,2.031292293646124,30.29467841582076,0.6800884680286802,470.14315317234383,589.937072169611,29.924693433990456,GCN,stop-heavy_low_below_q75,66,stop_ratio,0.3245192307692308
0.478409091165797,1.620568492195823,2.074137731857545,28.731272946288726,0.5242545780726426,448.58417289595167,573.8429101048754,27.815317659223915,GAT,stop-heavy_high_q75,22,stop_ratio,0.3245192307692308
0.675859656226075,1.6180458719080144,2.0461702699791458,32.268242949158285,0.6797024487471541,460.77089062499545,590.2928868355987,31.710176228956406,GAT,stop-heavy_low_below_q75,66,stop_ratio,0.3245192307692308
0.5740324929340754,1.6663899638436057,1.8743937246850733,25.214833557095663,0.6045319084485089,463.7550348899173,523.1924104660231,25.01094801724053,GraphSAGE,stop-heavy_high_q75,22,stop_ratio,0.3245192307692308
0.8176399902387915,1.1630751002918591,1.5347584368282876,21.702940356860655,0.8087469842579997,341.72824957090353,456.1365639226984,21.908114424438445,GraphSAGE,stop-heavy_low_below_q75,66,stop_ratio,0.3245192307692308
0.14541665750522426,2.1977735063962647,2.654909962224499,35.959267394890674,0.2568730524985514,587.1270661668718,717.19493930084,33.46702606091236,Ridge,stop-heavy_high_q75,22,stop_ratio,0.3245192307692308
0.6543567662277701,1.7617586910819512,2.1129501736256433,32.82288840906579,0.6695907669806314,504.6084248777283,599.5381564089364,32.24619687633451,Ridge,stop-heavy_low_below_q75,66,stop_ratio,0.3245192307692308
0.41539628396660866,1.751562882063115,2.195853546655162,29.945776440700207,0.4227246761983712,474.70432925983187,632.1166184263199,29.310675844393675,SVR-RBF,stop-heavy_high_q75,22,stop_ratio,0.3245192307692308
0.6523794573615053,1.511036882082305,2.1189852938959306,30.80085214056321,0.6945326721257783,429.95358567060794,576.4652380504324,28.671273579536432,SVR-RBF,stop-heavy_low_below_q75,66,stop_ratio,0.3245192307692308
0.16293301431462792,2.1412212447971517,2.627560304666891,39.483096411510154,0.19189316168694082,606.2750499849922,747.8940915832709,39.9069076233317,KernelRidge-RBF,stop-heavy_high_q75,22,stop_ratio,0.3245192307692308
0.5991217273735241,1.828678350822079,2.2755243398885705,35.86983852417573,0.6188189337013372,517.6058816686434,643.9563068611245,34.71710243918445,KernelRidge-RBF,stop-heavy_low_below_q75,66,stop_ratio,0.3245192307692308
0.46270329014003564,1.7462602582844822,2.1051336630189477,29.931048576112335,0.53425023628255,450.02904310191843,567.7825395631834,25.980061168645936,MLP,stop-heavy_high_q75,22,stop_ratio,0.3245192307692308
0.7359073572591326,1.5160664356116094,1.8469425100427115,28.00620314566458,0.7527134260013161,431.8220221354123,518.669857341234,27.033209197636253,MLP,stop-heavy_low_below_q75,66,stop_ratio,0.3245192307692308
-0.20804986697679828,1.361725308678367,1.7740967217765995,31.499118686238404,-0.13355786242839662,393.85894429154575,512.8144773481281,34.39325125330639,GGNN,slowdown-heavy_high_q75,22,slowdown_idx,0.3143102282799762
0.7859374309880771,1.3350650397214023,1.6783383639354534,24.517431338116744,0.7946839846615092,376.3396498727488,473.10624409734436,23.044526068491912,GGNN,slowdown-heavy_low_below_q75,66,slowdown_idx,0.3143102282799762
0.023552557174906008,1.251164804805409,1.5949948997317636,28.76654127459506,0.10196311849102435,363.3115408380638,456.4419132085835,31.199901112900992,GCN,slowdown-heavy_high_q75,22,slowdown_idx,0.3143102282799762
0.6456797533296303,1.743392445824363,2.159270940880454,29.76775276767188,0.6472336971193994,494.42837313565,620.1415253574693,28.25253363252739,GCN,slowdown-heavy_low_below_q75,66,slowdown_idx,0.3143102282799762
-0.11531930863277573,1.3552819598804822,1.7046470564785583,31.328653129836354,-0.06363654878469283,393.5460774591627,496.7467754336581,34.12059338116432,GAT,slowdown-heavy_high_q75,22,slowdown_idx,0.3143102282799762
0.6464571489518405,1.7064747160131282,2.156900868127983,31.402449554642402,0.6551380034438985,479.1169224372584,613.1545219382602,29.60841765497627,GAT,slowdown-heavy_low_below_q75,66,slowdown_idx,0.3143102282799762
0.1591973130976908,1.093989979137074,1.480068814141644,23.934133702198324,0.16436825964974977,330.00626140802336,440.29717034386334,27.704816473784117,GraphSAGE,slowdown-heavy_high_q75,22,slowdown_idx,0.3143102282799762
0.7874892489657281,1.3538750951940364,1.6722438537078412,22.1298403084931,0.7847277951266297,386.31117406486817,484.4413948036963,21.010158272257247,GraphSAGE,slowdown-heavy_low_below_q75,66,slowdown_idx,0.3143102282799762
-0.3437853393427983,1.5262711713523307,1.871112119533797,31.18877226905086,-0.26754490199530445,453.5918688022664,542.2756542297906,33.231749030953885,Ridge,slowdown-heavy_high_q75,22,slowdown_idx,0.3143102282799762
0.570855430579586,1.9855928027632626,2.3763530638583243,34.413053451012395,0.6029234634865213,549.1201573325968,657.9371040758296,32.32462255298733,Ridge,slowdown-heavy_low_below_q75,66,slowdown_idx,0.3143102282799762
-0.2507742457534514,1.4585417302497603,1.8051958547934444,29.936138725113693,-0.37399198276015433,461.95314896896457,564.5865525945711,35.21065666016831,SVR-RBF,slowdown-heavy_high_q75,22,slowdown_idx,0.3143102282799762
0.6191834444681527,1.6087105993534234,2.2385513732051727,30.804064712425383,0.6704644852550636,434.20397910089696,599.3746618940245,26.704613307611552,SVR-RBF,slowdown-heavy_low_below_q75,66,slowdown_idx,0.3143102282799762
-0.7902852180439859,1.7875475114251458,2.1597126664342987,41.18466488533856,-0.7581566367599093,519.5778258129966,638.6563178180546,45.345519128263945,KernelRidge-RBF,slowdown-heavy_high_q75,22,slowdown_idx,0.3143102282799762
0.549764807221977,1.946569595279414,2.434046522246467,35.30264903289958,0.5733075661658124,546.504956392642,682.0319775921816,32.90423193754036,KernelRidge-RBF,slowdown-heavy_low_below_q75,66,slowdown_idx,0.3143102282799762
0.201701938001426,1.3287200114943765,1.4421731308047911,25.149784107056878,0.2717199280997913,367.54755535333516,411.0433663798466,25.04316734036376,MLP,slowdown-heavy_high_q75,22,slowdown_idx,0.3143102282799762
0.6811954575618069,1.6552465178749778,2.0481954908462634,29.59995796868306,0.7063225769202449,459.31585138494,565.8255402303992,27.34550714039698,MLP,slowdown-heavy_low_below_q75,66,slowdown_idx,0.3143102282799762
