time_r2,time_mae,time_rmse,time_mape,energy_r2,energy_mae,energy_rmse,energy_mape,model,subset,n
0.3469455379206544,0.595618724822998,0.7253079690782128,5.0997986956539325,0.27130135037963377,178.40927799478368,210.6750500830264,5.211414195127845,GGNN,high_gt5,6
0.9303606948206137,0.9645462036132812,1.2035649580503436,12.17661975144672,0.9223246117542561,292.7235817522272,376.4228699552148,11.455921765946355,GGNN,low_1_2,14
0.7768813580303457,1.1260068783393273,1.588485759667266,20.471593324954693,0.7692788372809148,345.04104691255674,468.56865539837145,22.076541123732003,GGNN,medium_3_5,26
-0.30161970484567946,1.7075883660997664,1.988726962361502,37.56662343499882,-0.2272476942015007,461.03953889973974,547.7179017845709,35.998780690051404,GGNN,unseen,42
-0.2846524946344915,0.9575382868448893,1.0172801747852547,8.2796354782887,-0.2916405373785498,257.329233072917,280.4852041685858,7.708969851555065,GCN,high_gt5,6
0.6902756959950205,2.1166965620858327,2.5382240973782717,22.373393690552696,0.6751403646276277,623.2333835100347,769.8075416624395,21.69011621720057,GCN,low_1_2,14
0.6848924684201128,1.4128733231471136,1.8877513465346933,24.570115982513606,0.6760457705644968,433.65218577223095,555.2279812698663,26.33024030779171,GCN,medium_3_5,26
-0.3683766771360071,1.6779961699531192,2.039087846493963,37.99541072915741,-0.2839306604084806,454.307783993674,560.2238688148379,36.108651192331116,GCN,unseen,42
0.6680692989256982,0.3184191385904948,0.5170963356182814,2.871613685901349,0.6460878953276528,105.31400325520265,146.82054501765484,3.171943191401832,GAT,high_gt5,6
0.7879290521051898,1.791956799370902,2.1003076239299983,20.50442674580743,0.7812934917857768,527.6129708426264,631.6334752656917,19.72906512200155,GAT,low_1_2,14
0.6707792014589908,1.3985708493452806,1.9295632936522404,26.318398883570598,0.6683704404280546,404.2254650691077,561.7668846895165,27.042658057653423,GAT,medium_3_5,26
-0.6518591059308347,1.8829233873458135,2.2403692611229062,42.21957171269645,-0.5897996404914452,517.8905448056154,623.3931424860363,40.63002236330065,GAT,unseen,42
0.49239722168335753,0.43663549423217773,0.6394546411501026,3.858872927152194,0.5282034821846637,131.6230384114624,169.51826121001957,4.0148684447932865,GraphSAGE,high_gt5,6
0.9057573960162392,1.1787199974060059,1.4001222549422812,13.141829687006332,0.8966135675377542,347.6044419642849,434.27623094144235,12.527847780629505,GraphSAGE,low_1_2,14
0.7361247094426203,1.3077285656562219,1.7274868859961598,22.91461820031578,0.7204860527840009,395.30312338491296,515.7405263602186,24.49039047061418,GraphSAGE,medium_3_5,26
0.018422715679594415,1.4357309568495977,1.7270119956394083,28.19527322427846,0.023483074709916507,400.53794317336457,488.57440396717476,27.61778991806399,GraphSAGE,unseen,42
-3.7558100773370837,1.7047442587945811,1.9573117352547562,14.130361147617823,-4.048942354304234,490.64173068231327,554.5482378293877,14.157648166347997,Ridge,high_gt5,6
0.7717405133794424,1.7627715861817823,2.178997530873105,26.392795070315906,0.8068604185348274,503.3998274674949,593.5672464646682,25.613311413296312,Ridge,low_1_2,14
0.5464865192446224,1.9148840431780694,2.2646990474900766,32.20532272826831,0.5507690558724705,550.5481779513054,653.8292560448936,32.76897721768511,Ridge,medium_3_5,26
-0.7781016869663417,1.9031628064329609,2.324402861671023,39.6617816400198,-0.6701647672698194,521.7916881482976,638.9553079859618,37.35709311271667,Ridge,unseen,42
-0.2570911230482995,0.7839674312221717,1.0063084706048788,6.9781643645419225,-0.38438464665449223,229.2320704290547,290.38054135108723,6.845749362922373,SVR-RBF,high_gt5,6
0.8141187988299917,1.6403103426055488,1.9663465256742627,23.099207986459454,0.8116949727590573,487.98227327800447,586.0912566055719,22.310747600584943,SVR-RBF,low_1_2,14
0.4706306909643849,1.6235978896094525,2.446779179739001,29.627475433729742,0.49735512785640645,475.01052287413347,691.608218962765,28.606327845616942,SVR-RBF,medium_3_5,26
-0.4618771944693132,1.6281219787896237,2.1076017474968753,37.049787230902844,-0.26348639664369733,434.8336679710134,555.7456968024945,34.28451043462622,SVR-RBF,unseen,42
0.662309694598316,0.4683167790699878,0.5215633246055352,3.940681570814502,0.3273954648891698,168.46895225242216,202.40396650646437,4.9233127631512446,KernelRidge-RBF,high_gt5,6
0.7152039844064468,2.064891566615166,2.433936673893773,25.717887157954117,0.7180089817026936,602.1379268697018,717.2192264208646,24.795123297622343,KernelRidge-RBF,low_1_2,14
0.5639299877467469,1.8218662311813354,2.2207184866961467,31.58532935684174,0.5679388133530936,531.9886917877739,641.2127429470953,32.04563447024738,KernelRidge-RBF,medium_3_5,26
-1.2006757491575382,2.112207950524942,2.5858964698911855,48.36010454130216,-1.0977539840448371,576.8473479435195,716.0908107404296,46.65291975541472,KernelRidge-RBF,unseen,42
0.4595936745321022,0.5821391741434733,0.6597933901897084,5.018208067641299,0.122161753221119,196.44505761718574,231.23116798964756,5.922228111352932,MLP,high_gt5,6
0.861316961591726,1.4311569077628,1.6984548013404999,19.970216635339845,0.8705658406877091,402.76795654296126,485.913246853615,18.854916622249828,MLP,low_1_2,14
0.5985749840994495,1.826588850754958,2.1306769788970676,29.131048246498626,0.6051299265391457,519.9083826622557,612.9945704565225,28.996942325964604,MLP,medium_3_5,26
-0.2662770271191217,1.6061373466537112,1.9615413535013082,34.280784299494364,-0.11538437000292157,430.13935053943305,522.1593999004238,31.007867878559736,MLP,unseen,42
