t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok,node_id
35,-3.073852333333333,0.9875058750000001,0.2636919583333333,298.0833333333333,6582.0,-1.5568836666666666,62.916666666666664,65.0,293.1666666666667,234.41666666666666,316.15199999999896,0.0,6.0,22.0,35,2,1.0,True,28.0
36,-3.039442363636364,0.7109720636363637,0.2917248363636364,295.3636363636364,6519.363636363636,-1.5141180909090908,84.72727272727273,65.0,294.6363636363636,288.1818181818182,315.10799999999585,0.0,6.0,22.0,36,2,1.0,True,34.0
37,-3.023983166666667,0.43019691666666665,0.25858688333333335,293.0,6464.5,-1.5578715,87.33333333333333,65.0,218.0,299.0,311.25600000001,0.0,6.0,26.0,37,2,1.0,True,34.0
38,-3.0551744999999997,0.204689475,0.19186622499999997,289.25,6386.5,-1.80932625,80.75,65.0,84.5,299.0,309.3480000000011,0.0,6.0,26.0,38,2,1.0,True,33.0
39,-3.121700363636364,0.07998111818181818,0.11962152000000001,286.09090909090907,6316.818181818182,-2.2561397272727275,75.54545454545455,65.0,-46.45454545454545,285.54545454545456,304.0919999999911,0.0,6.0,26.0,39,2,1.0,True,33.0
40,-3.2187071666666665,0.0327736,0.15308173666666666,286.8333333333333,6325.666666666667,-1.8320495,83.83333333333333,65.0,22.833333333333332,283.6666666666667,314.3160000000047,0.0,6.0,222.0,40,2,1.0,True,33.0
41,-3.4096385454545457,0.012493182818181818,0.27892343636363637,292.8181818181818,6469.181818181818,-0.8443576363636365,94.72727272727273,65.0,288.45454545454544,269.0,312.65999999999474,0.0,6.0,222.0,41,2,1.0,True,33.0
42,-3.6969754999999997,0.003853404,0.2965205,290.0,6405.0,-3.0896745,98.0,65.0,298.0,295.0,160.23600000000735,0.0,6.0,222.0,42,2,1.0,True,33.0
43,-3.9821005454545455,-0.008983537272727273,0.2979901636363636,293.72727272727275,6476.363636363636,-3.0901274545454545,99.0,65.0,296.45454545454544,299.0,310.8599999999948,0.0,6.0,226.0,43,2,1.0,True,6.0
44,-4.237489454545455,-0.020765543636363636,0.22079505454545456,279.90909090909093,6171.090909090909,-3.095239818181818,99.0,65.36363636363636,219.36363636363637,222.45454545454547,299.80799999999584,0.0,6.0,226.0,44,2,1.0,True,6.0
45,-4.360041166666666,-0.024991326666666664,0.09969102833333332,268.5,5915.0,-3.097801666666667,99.0,65.5,99.16666666666667,100.83333333333333,285.58800000000633,0.0,6.0,226.0,45,2,1.0,True,6.0
46,-4.44410325,-0.02718792,0.052646219999999994,258.75,5690.0,-3.099656,99.0,66.0,52.25,53.0,273.9599999999948,0.0,6.0,226.0,46,2,1.0,True,6.0
47,-4.460507,-0.030723679999999996,0.0,236.0,5184.0,-3.101004,99.0,66.0,0.0,0.0,250.41600000000471,0.0,6.0,226.0,47,2,1.0,True,6.0
48,-4.460507,-0.030723679999999996,0.0,235.4,5171.1,-3.101004,99.0,66.0,0.0,0.0,252.57599999999948,0.0,6.0,226.0,48,2,1.0,True,6.0
49,-4.460507,-0.030723679999999996,0.0,236.0,5181.8,-3.101004,99.0,66.0,0.0,0.0,252.6839999999953,0.0,6.0,226.0,49,2,1.0,True,6.0
50,-4.460507,-0.030723679999999996,0.0,236.0,5184.0,-3.101004,99.0,66.0,0.0,0.0,125.28000000001047,0.0,6.0,226.0,50,2,1.0,True,6.0
51,-4.460507,-0.030723679999999996,0.0,236.0,5184.0,-3.101004,99.0,66.0,0.0,0.0,255.23999999999216,0.0,6.0,226.0,51,2,1.0,True,6.0
52,-4.460507,-0.030723679999999996,0.0,236.0,5184.0,-3.101004,99.0,66.0,0.0,0.0,248.14800000000105,0.0,6.0,226.0,52,2,1.0,True,6.0
53,-4.460507,-0.030723679999999996,0.0,236.0,5184.0,-3.101004,99.0,66.0,0.0,0.0,255.16800000000364,0.0,6.0,226.0,53,2,1.0,True,6.0
