timestamp,X-coordinate,Y-coordinate,Going to ID,Speed,power consumption,Cumulative energy consumption,current consuption,Heading,Target reached,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,Target reached2,Current segment,Position confidence,Battery value,Safety - Circuit Opened,Safety - Front Emergency Stops Active,Safety - Front Emergency Bumper Active,CR collision detected,Safety - Front Scanner Protective Zone Active,Safety - Front Scanner Warning Zone Active
35:11.8,-4.536292,1.451914,5.0,0.0,234.0,18028.7,5135.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:11.8,-4.536292,1.451914,5.0,0.0,234.0,18028.7,5135.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:11.9,-4.536292,1.451914,5.0,0.0,234.0,18028.7,5135.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:11.9,-4.536292,1.451914,5.0,0.0,234.0,18028.7,5135.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:11.9,-4.536292,1.451914,5.0,0.0,234.0,18028.7,5135.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.0,-4.536292,1.451914,5.0,0.0,234.0,18028.7,5135.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.0,-4.536292,1.451914,5.0,0.0,234.0,18028.7,5135.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.0,-4.536292,1.451914,5.0,0.0,234.0,18028.7,5135.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.1,-4.536292,1.451914,5.0,0.0,234.0,18028.7,5135.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.1,-4.536292,1.451914,5.0,0.0,234.0,18028.7,5135.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.1,-4.536292,1.451914,5.0,0.0,234.0,18028.7,5135.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.2,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.2,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.2,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.2,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.3,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.3,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.3,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.4,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.4,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.4,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.5,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.5,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.5,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.5,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.6,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.6,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.6,-4.536292,1.451914,5.0,0.0,236.0,18063.39,5165.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.7,-4.536292,1.451914,5.0,0.0,237.0,18098.07,5184.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.7,-4.536292,1.451914,5.0,0.0,237.0,18098.07,5184.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.7,-4.536292,1.451914,5.0,0.0,237.0,18098.07,5184.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.8,-4.536292,1.451914,5.0,0.0,237.0,18098.07,5184.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.8,-4.536292,1.451914,5.0,0.0,237.0,18098.07,5184.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
35:12.8,-4.536292,1.451914,5.0,0.0,237.0,18098.07,5184.0,-3.102274,1.0,0.0,0.0,1.0,260.0,100.0,67.0,False,False,False,False,False,False
