session,u_node_id,v_node_id,edge_distance,time_s,energy_J,mean_speed,slowdown_idx,std_speed,turn_intensity,mean_power_W,std_power_W,peak_power_W,mean_current,std_current,wheel_diff_mean,stop_ratio,scanner_ratio,obs_t_start
1,25,23,0.9280086159706116,11.0,3070.799999999948,0.22343256728650138,0.25320618524133465,0.07351330241201857,0.26362699856363747,288.0695592286501,3.804685604139983,292.54545454545456,6489.8608815427,88.5564105900299,136.68044077134988,0.0,0.0,4.0
1,23,20,3.1761534214019775,12.0,3403.8,0.2538377124747475,0.1515810075012174,0.061273272777219806,0.1284347927272749,290.0238636363636,3.6992402845259877,295.0,6536.758964646466,86.17702413194485,85.11212121212121,0.0,0.0,13.0
1,20,21,0.9051191210746765,12.0,3379.3200000000425,0.2140568188510101,0.2845433847614922,0.08199512502238558,0.2279843332093647,288.0655303030303,2.7068035960248977,291.27272727272725,6492.854924242424,66.75155491988873,149.35896464646467,0.0,0.0,22.0
1,21,14,4.371143817901611,17.0,4958.639999999979,0.26061105766488407,0.1289419967488895,0.06754214716834414,0.10448990204072217,291.14973262032083,3.3575299968604946,295.5,6562.442067736185,79.09423154407075,59.33288770053476,0.0,0.0,31.0
1,14,15,0.5930969715118408,7.0,2020.679999999958,0.29887149740259744,0.0010615355740730692,0.0003611865069424259,0.002143641414140992,292.2487012987013,2.1590959107668124,295.5,6589.906926406926,49.12997962792461,0.7238095238095232,0.0,0.0,45.0
1,13,11,0.5543110370635986,4.0,1094.4,0.29865649791666665,0.001780142929389883,0.0002750400896520453,0.0013444444444417059,291.79166666666663,2.0920650351055405,294.0,6589.125,51.1050626704982,1.1041666666666572,0.0,0.0,53.0
1,11,2,3.520909070968628,11.0,3108.6,0.29869768217630854,0.0016424899867616416,0.00048285037741237766,0.001477911515149799,291.49931129476585,1.899961375396215,294.27272727272725,6580.261432506887,45.03154961755359,1.0606060606060623,0.0,0.0,54.0
1,2,11,3.520909070968628,17.0,4908.599999999896,0.266071385197861,0.11069157391346263,0.07047661156193329,0.19849843248106325,288.4852941176471,8.436562244187835,296.1818181818182,6506.920944741532,196.25854152864332,1.6876114081996458,0.5263157894736842,0.0,62.0
1,11,13,0.33970576524734497,10.0,2935.439999999979,0.24027456073484849,0.19691404892396502,0.07377787792678948,1.0549811609427655,289.20469696969695,4.214578008715924,294.25,6528.056818181818,97.27174862919865,93.53363636363636,0.0,0.0,97.0
1,13,9,0.6603029370307922,5.0,1548.719999999937,0.24335591775757576,0.18661502048069778,0.067306435113889,2.4454419499999958,290.10939393939395,3.018371723367146,294.25,6548.042424242425,68.74170750556418,75.68848484848485,0.0,0.0,104.0
1,9,8,0.4701063632965088,5.0,1399.6799999999582,0.2964296357575757,0.009223135268983884,0.0009013752232702319,0.00972105303030446,292.1727272727273,1.3470233823708664,293.90909090909093,6595.327272727273,35.39180358852648,4.0833333333333375,0.0,0.0,107.0
1,8,3,1.5105297565460205,6.0,1687.680000000063,0.2700523704040404,0.09738565721239212,0.05930568088138966,0.005887575757583363,288.4419191919192,7.805076796783853,293.90909090909093,6508.803030303029,182.55905514782805,2.955808080808083,0.0,0.0,109.0
1,3,8,1.5105297565460205,10.0,2885.760000000021,0.24103458927272725,0.19437375402416146,0.08801145467670245,0.35203845984848514,285.20303030303023,9.421984529288734,292.3333333333333,6435.338636363636,221.41751641505974,0.8378787878787932,0.5925925925925926,0.0,112.0
1,8,9,0.4701063632965088,6.0,1868.039999999979,0.29880233472222223,0.0012927026888031046,0.0002538724604141198,0.002638351090905644,291.3522727272727,1.1506820983220445,293.0,6579.936868686868,28.92348896144255,0.5782828282828234,0.0,0.0,136.0
1,9,13,0.6603029370307922,5.0,1378.4399999999791,0.2278222738181818,0.23853417154934187,0.08825601170520543,0.1843448294697012,289.080303030303,4.234602096155434,293.0,6528.372727272727,97.78558870838285,115.95,0.0,0.0,140.0
1,13,11,0.5543110370635986,6.0,1689.1199999999371,0.19394339560606064,0.35176984263811384,0.07507963758068556,0.33667255518181494,288.4318181818182,4.6829029340578,295.3636363636364,6513.094696969696,109.51816460078793,161.03787878787878,0.0,0.0,142.0
1,11,2,3.520909070968628,12.0,3565.4399999999796,0.27459142099747474,0.0822144807396854,0.048892670836651414,0.04972520303030075,290.5997474747475,2.9261469195542493,295.3636363636364,6562.952777777778,68.78197649341196,35.24532828282829,0.0,0.0,145.0
1,2,11,3.520909070968628,16.0,4624.919999999936,0.2763009136505682,0.07650072756927773,0.05559406337537397,0.21167411676767642,287.99261363636367,8.388768301655434,293.5,6507.301609848485,197.5379687857291,0.8591856060606062,0.5384615384615384,0.0,154.0
1,11,12,0.6000833511352539,9.0,2478.239999999979,0.27866795501683506,0.06858920476365504,0.04171075611501142,0.048007600378788595,289.53316498316497,2.7459320948088437,293.27272727272725,6546.477272727273,65.78924705495845,40.60656565656565,0.0,0.0,190.0
1,12,15,0.46141088008880615,6.0,1683.360000000021,0.20658578568181818,0.3095143253381859,0.06559010416422147,0.9397696999999994,288.28409090909093,3.859806355773703,295.72727272727275,6517.049242424243,89.81421576252801,165.71843434343435,0.0,0.0,196.0
1,15,16,0.6603029370307922,5.0,1542.960000000021,0.22180768024242425,0.2586371553498341,0.07477489881076164,2.079982312499993,290.92878787878783,3.8832496828266962,295.72727272727275,6579.624242424243,87.5774476349453,131.4257575757576,0.0,0.0,199.0
1,16,18,0.4601086974143982,5.0,1407.6,0.29700651651515153,0.0072949876097462285,0.003152652582448834,0.004983416666668461,292.430303030303,0.7541041669306655,293.75,6609.360606060606,16.52957849146794,4.154545454545451,0.0,0.0,202.0
1,18,4,1.4703060388565063,7.0,1982.1600000000212,0.25216638551948056,0.15716719687276204,0.0762042596601626,0.003544799242424309,285.430735930736,10.405975567197277,292.5,6446.032467532467,242.12471385926438,0.67316017316017,0.0,0.0,204.0
1,4,18,1.4703060388565063,9.0,2586.239999999979,0.2593951149158249,0.13300612462033656,0.06877089716468834,0.39344972859849037,285.9882154882155,9.112560574131251,292.09090909090907,6463.030303030303,213.9255071035983,1.9806397306397292,0.65625,0.0,208.0
1,18,16,0.4601086974143982,5.0,1391.4,0.29860174060606065,0.0019631620002890093,0.0002964521825806765,0.0017136958106078737,291.12303030303025,1.0994340308750274,292.6,6583.028484848485,17.46200110127618,0.8878787878787875,0.0,0.0,237.0
1,16,15,0.6603029370307922,5.0,1536.480000000063,0.22620232787878786,0.24394862666873174,0.08386596004945561,0.19370428868181477,286.65030303030306,4.589232257023749,292.6,6479.337575757576,108.01426732275166,129.6878787878788,0.0,0.0,240.0
1,15,12,0.5789593458175659,5.0,1382.4,0.19425634,0.35072386737767813,0.06701448498640293,0.38907983,285.9454545454545,4.647437754930171,293.6363636363636,6462.6909090909085,111.96991331426173,181.2,0.0,0.0,242.0
1,12,13,0.5721194744110107,3.0,779.039999999979,0.2382761272727273,0.20359354854590317,0.041109379685209314,0.1280162272727381,292.6969696969697,5.717082484937375,299.1818181818182,6619.515151515152,136.63779174909104,101.15151515151517,0.0,0.0,245.0
1,13,11,0.5543110370635986,3.0,935.280000000063,0.28998876060606055,0.03075090887513221,0.009222228170960814,0.01534154545454669,294.22727272727275,3.649030966879453,299.1818181818182,6659.671717171717,84.61215313123985,16.631313131313135,0.0,0.25,247.0
1,11,2,3.520909070968628,11.0,3248.640000000084,0.2878866460055096,0.037776948993949566,0.022998081494318104,0.004938802424243249,290.43305785123965,2.0276535710437313,293.0,6570.0608815426995,46.742098180404845,1.5840220385674941,0.0,0.3076923076923077,248.0
