t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok
114,-5.004677272727273,18.008646363636363,0.13745058454545453,271.27272727272725,6108.272727272727,-3.1153493636363634,97.81818181818181,61.0,137.63636363636363,138.0,287.63999999997907,0.0,3.0,138.0,114,1,1.0,True
115,-5.094778363636364,18.00688272727273,0.0949855718181818,265.27272727272725,5963.727272727273,-3.115166454545455,98.0,61.0,95.45454545454545,95.27272727272727,284.03999999997905,0.0,3.0,138.0,115,1,1.0,True
116,-5.165406727272727,18.007054545454547,0.027072436363636362,240.0909090909091,5394.454545454545,-3.1146110000000005,98.0,61.63636363636363,27.272727272727273,26.90909090909091,252.0,0.0,3.0,138.0,116,1,1.0,True
117,-5.167958,18.007,0.0,231.0,5189.5,-3.114583,98.0,62.0,0.0,0.0,127.07999999995809,0.0,3.0,138.0,117,1,1.0,True
118,-5.167958,18.007,0.0,231.0,5187.0,-3.114583,98.0,62.0,0.0,0.0,242.64000000008383,0.0,3.0,138.0,118,1,1.0,True
119,-5.167958,18.005818181818185,0.0,231.9090909090909,5204.090909090909,-3.114583,98.0,62.0,0.0,0.0,250.2,0.0,3.0,138.0,119,1,1.0,True
120,-5.167958,18.0057,0.0,231.4,5194.2,-3.114583,99.0,62.0,0.0,0.0,245.51999999993714,0.0,3.0,138.0,120,1,1.0,True
121,-5.167958,18.0057,0.0,232.2,5214.2,-3.114583,98.7,62.0,0.0,0.0,249.4800000000629,0.0,3.0,138.0,121,1,1.0,True
122,-5.170794363636364,18.0057,0.0,249.9090909090909,5623.363636363636,-3.114583,98.0,61.27272727272727,0.0,0.0,261.71999999993716,0.0,2.0,136.0,122,1,1.0,True
123,-5.157566,17.996254,0.0002977968,273.4,6153.0,-2.9599073000000002,92.9,61.0,70.0,-69.3,294.12000000004195,0.0,2.0,136.0,123,1,1.0,True
124,-5.145604545454545,17.988974545454546,0.000425424,274.27272727272725,6170.727272727273,-2.660636181818182,76.36363636363636,61.0,100.0,-99.0,291.2399999999791,0.0,2.0,136.0,124,1,1.0,True
125,-5.152129454545454,17.99439,0.000425424,274.8181818181818,6180.545454545455,-2.243303818181818,82.63636363636364,61.0,100.0,-99.0,294.1200000000419,0.0,2.0,136.0,125,1,1.0,True
126,-5.155147454545454,17.995504545454544,0.000425424,274.6363636363636,6180.0,-1.9442254545454545,90.0909090909091,61.0,100.0,-99.0,145.0799999999581,0.0,2.0,136.0,126,1,1.0,True
127,-5.1562968181818185,17.995623636363636,0.000425424,275.45454545454544,6207.818181818182,-1.5477905454545455,93.9090909090909,61.0,100.0,-99.0,294.47999999995807,0.0,2.0,136.0,127,1,1.0,True
128,-5.154804454545455,17.989101818181815,0.000425424,276.90909090909093,6246.363636363636,-1.2318674545454547,91.72727272727273,61.0,100.0,-99.0,296.64000000008383,0.0,2.0,136.0,128,1,1.0,True
129,-5.158501545454545,17.988609999999998,0.000425424,274.27272727272725,6186.454545454545,-0.8825145727272727,87.63636363636364,61.0,100.0,-99.0,292.6799999999581,0.0,2.0,136.0,129,1,1.0,True
130,-5.17717325,17.982,0.000425424,273.75,6165.5,-0.569905575,69.75,61.0,90.5,-89.5,292.32000000004194,0.0,2.0,136.0,130,1,1.0,True
131,-5.175285454545454,17.992928181818183,0.000425424,271.09090909090907,6114.636363636364,-0.26671018181818185,68.0909090909091,61.0,62.90909090909091,-61.90909090909091,288.3599999999162,0.0,2.0,136.0,131,1,1.0,True
132,-5.1671665,18.000566666666668,0.00035451899999999997,270.1666666666667,6090.666666666667,-0.05861845833333334,82.33333333333333,61.0,41.833333333333336,-41.0,290.88000000006286,0.0,2.0,136.0,132,1,1.0,True
133,-5.136723636363636,17.998840909090912,0.09084736363636364,278.09090909090907,6277.272727272727,0.03412533909090909,94.54545454545455,61.0,90.27272727272727,91.45454545454545,297.36000000002093,0.0,2.0,136.0,133,1,1.0,True
