t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok
934,-3.035119909090909,8.528471545454545,0.10148295545454546,281.1818181818182,6419.272727272727,0.24884582,82.81818181818181,59.0,-46.63636363636363,249.8181818181818,299.16000000002094,0.0,1.0,276.0,934,1,1.0,True
935,-2.897211,8.545598818181817,0.17063367272727273,280.72727272727275,6409.454545454545,0.09733816727272729,91.36363636363636,59.0,238.27272727272728,103.0909090909091,303.12000000004195,0.0,1.0,276.0,935,1,1.0,True
936,-2.752503666666667,8.595924666666667,0.14634585,282.5,6442.0,0.5391787916666667,84.0,59.0,299.0,-7.0,300.6,0.0,1.0,276.0,936,1,1.0,True
937,-2.670300363636364,8.694465545454547,0.15516370000000002,281.90909090909093,6440.090909090909,1.0988165636363636,79.27272727272727,59.0,299.0,10.909090909090908,146.16000000002097,0.0,1.0,276.0,937,1,1.0,True
938,-2.649966,8.839845500000001,0.19519869166666667,289.1666666666667,6604.0,1.4967534999999998,87.16666666666667,58.083333333333336,299.0,90.91666666666667,306.0,0.0,1.0,276.0,938,1,1.0,True
939,-2.655632909090909,9.096646999999999,0.2639175818181818,296.09090909090907,6766.636363636364,1.5995663636363637,95.0909090909091,58.0,243.54545454545453,283.90909090909093,311.7599999999162,0.0,1.0,8.0,939,1,1.0,True
940,-2.656784181818182,9.344402363636364,0.29478018181818183,289.90909090909093,6618.909090909091,1.5553823636363637,97.0909090909091,58.0,290.6363636363636,298.1818181818182,309.6,0.0,1.0,8.0,940,1,1.0,True
941,-2.65631675,9.645173,0.29715862499999995,289.75,6611.25,1.55329875,98.75,58.0,299.0,294.5,309.2400000000838,0.0,1.0,8.0,941,1,1.0,True
942,-2.6548166363636363,9.911024727272727,0.2968685545454546,291.8181818181818,6659.181818181818,1.5609166363636362,98.45454545454545,58.18181818181818,299.0,294.0,311.4,0.0,1.0,8.0,942,1,1.0,True
943,-2.6508586363636364,10.211145454545456,0.2968298909090909,288.72727272727275,6596.363636363636,1.572949090909091,99.63636363636364,58.45454545454545,299.0,294.09090909090907,306.3599999999162,0.0,1.0,8.0,943,1,1.0,True
